Weeks Old,Days Old,Hours,Count
0,0,5.466666666666667,1
0,1,12.033333333333333,1
0,2,10.866666666666667,1
0,3,11.5,1
0,4,12.1,1
0,5,10.6,1
0,6,11.1,1
1,7,12.666666666666666,1
1,8,10.533333333333333,1
1,9,12.766666666666667,1
1,10,12.916666666666668,1
1,11,12.25,1
1,12,12.966666666666667,1
1,13,11.616666666666667,1
2,14,13.083333333333332,1
2,15,12.533333333333333,1
2,16,12.066666666666666,1
2,17,14.1,1
2,18,12.383333333333333,1
2,19,12.9,1
2,20,13.9,1
3,21,12.966666666666667,1
3,22,14.316666666666666,1
3,23,13.1,1
3,24,13.35,1
3,25,14.683333333333334,1
3,26,13.633333333333333,1
3,27,14.083333333333334,1
4,28,14.2,1
4,29,14.533333333333333,1
4,30,15.200000000000001,1
4,31,15.333333333333334,1
4,32,15.85,1
4,33,14.333333333333334,1
4,34,15.783333333333333,1
5,35,16.416666666666668,1
5,36,15.583333333333332,1
5,37,15.216666666666667,1
5,38,15.95,1
5,39,15.666666666666668,1
5,40,15.783333333333333,1
5,41,15.75,1
6,42,16.7,1
6,43,15.866666666666667,1
6,44,16.183333333333334,1
6,45,17.183333333333334,1
6,46,14.883333333333333,1
6,47,16.7,1
6,48,16.166666666666668,1
7,49,15.816666666666666,1
7,50,16.033333333333335,1
7,51,17.2,1
7,52,15.466666666666667,1
7,53,16.8,1
7,54,16.316666666666666,1
7,55,15.716666666666667,1
8,56,15.950000000000001,1
8,57,15.966666666666667,1
8,58,16.05,1
8,59,16.1,1
8,60,16.683333333333334,1
8,61,16.633333333333333,1
8,62,16.666666666666668,1
9,63,16.3,1
9,64,16.6,1
9,65,17.3,1
9,66,16.566666666666666,1
9,67,16.95,1
9,68,15.616666666666667,1
9,69,15.983333333333334,1
10,70,16.53333333333333,1
10,71,16.45,1
10,72,15.75,1
10,73,16.316666666666666,1
10,74,17.116666666666667,1
10,75,17.133333333333333,1
10,76,17.416666666666668,1
11,77,16.483333333333334,1
11,78,16.3,1
11,79,16.166666666666668,1
11,80,16.216666666666665,1
11,81,16.283333333333335,1
11,82,17.016666666666666,1
11,83,16.05,1
12,84,15.683333333333334,1
12,85,16.05,1
12,86,16.46666666666667,1
12,87,15.933333333333334,1
12,88,14.95,1
12,89,15.566666666666666,1
12,90,16.65,1
13,91,16.816666666666666,1
13,92,17.666666666666668,1
13,93,15.45,1
13,94,17.433333333333334,1
13,95,16.966666666666665,1
13,96,18.8,1
13,97,16.9,1
14,98,18.016666666666666,1
14,99,17.96666666666667,1
14,100,16.066666666666666,1
14,101,16.333333333333332,1
14,102,17.133333333333333,1
14,103,15.633333333333333,1
14,104,16.599999999999998,1
15,105,16.566666666666666,1
15,106,16.9,1
15,107,16.216666666666665,1
15,108,18.633333333333333,1
15,109,17.25,1
15,110,15.1,1
15,111,17.016666666666666,1
16,112,17.483333333333334,1
16,113,15.866666666666667,1
16,114,18.366666666666667,1
16,115,15.133333333333333,1
16,116,16.55,1
16,117,17.883333333333333,1
16,118,17.366666666666667,1
17,119,16.933333333333334,1
17,120,18.2,1
17,121,17.46666666666667,1
17,122,16.4,1
17,123,16.9,1
17,124,17.333333333333336,1
17,125,17.2,1
18,126,16.783333333333335,1
18,127,17.4,1
18,128,17.75,1
18,129,17.633333333333333,1
18,130,15.716666666666667,1
18,131,15.25,1
18,132,16.85,1
19,133,16.633333333333333,1
19,134,17.8,1
19,135,16.316666666666666,1
19,136,16.366666666666667,1
19,137,16.55,1
19,138,16.35,1
19,139,16.46666666666667,1
20,140,18.766666666666666,1
20,141,16.516666666666666,1
20,142,14.833333333333334,1
20,143,17.366666666666667,1
20,144,18.75,1
20,145,16.75,1
20,146,18.46666666666667,1
21,147,17.78333333333333,1
21,148,17.883333333333333,1
21,149,16.483333333333334,1
21,150,15.616666666666667,1
21,151,16.483333333333334,1
21,152,16.8,1
21,153,18.983333333333334,1
22,154,17.116666666666667,1
22,155,18.6,1
22,156,16.366666666666667,1
22,157,18.03333333333333,1
22,158,17.416666666666668,1
22,159,17.116666666666667,1
22,160,18.1,1
23,161,17.28333333333333,1
23,162,15.5,1
23,163,18.683333333333334,1
23,164,16.46666666666667,1
23,165,15.933333333333334,1
23,166,17.066666666666666,1
23,167,18.25,1
24,168,16.4,1
24,169,17.833333333333336,1
24,170,17.950000000000003,1
24,171,14.916666666666668,1
24,172,17.78333333333333,1
24,173,15.033333333333333,1
24,174,17.7,1
25,175,17.46666666666667,1
25,176,15.966666666666667,1
25,177,16.383333333333333,1
25,178,17.716666666666665,1
25,179,17.083333333333332,1
25,180,15.85,1
