Months Old,Weeks Old,Days Old,Day Sleep Hours,Night Sleep Hours,Count
0,0,0,1.4333333333333333,4.033333333333333,1
0,0,1,8.25,3.783333333333333,1
0,0,2,7.300000000000001,3.5666666666666664,1
0,0,3,6.85,4.65,1
0,0,4,7.883333333333333,4.216666666666667,1
0,0,5,6.9,3.7,1
0,0,6,6.866666666666667,4.233333333333333,1
0,1,7,7.466666666666667,5.199999999999999,1
0,1,8,6.416666666666666,4.116666666666667,1
0,1,9,7.216666666666667,5.55,1
0,1,10,7.883333333333333,5.033333333333333,1
0,1,11,6.633333333333333,5.616666666666667,1
0,1,12,7.833333333333333,5.133333333333333,1
0,1,13,7.066666666666666,4.55,1
0,2,14,8.4,4.683333333333334,1
0,2,15,7.433333333333334,5.1,1
0,2,16,7.25,4.816666666666666,1
0,2,17,7.583333333333334,6.516666666666667,1
0,2,18,7.783333333333333,4.6,1
0,2,19,8.366666666666667,4.533333333333333,1
0,2,20,8.166666666666666,5.733333333333333,1
0,3,21,7.333333333333334,5.633333333333333,1
0,3,22,7.733333333333333,6.583333333333333,1
0,3,23,6.783333333333333,6.316666666666666,1
0,3,24,7.533333333333333,5.816666666666666,1
0,3,25,8.133333333333333,6.550000000000001,1
0,3,26,7.133333333333334,6.5,1
0,3,27,7.566666666666666,6.516666666666667,1
0,4,28,7.9,6.300000000000001,1
0,4,29,8.383333333333333,6.15,1
1,4,30,8.883333333333333,6.316666666666667,1
1,4,31,8.016666666666666,7.316666666666666,1
1,4,32,7.866666666666667,7.983333333333333,1
1,4,33,7.7,6.633333333333334,1
1,4,34,8.35,7.433333333333334,1
1,5,35,8.033333333333333,8.383333333333333,1
1,5,36,7.816666666666666,7.766666666666667,1
1,5,37,7.516666666666667,7.7,1
1,5,38,7.916666666666667,8.033333333333333,1
1,5,39,7.1000000000000005,8.566666666666666,1
1,5,40,7.533333333333333,8.25,1
1,5,41,7.333333333333334,8.416666666666668,1
1,6,42,8.783333333333333,7.916666666666666,1
1,6,43,7.133333333333334,8.733333333333334,1
1,6,44,7.45,8.733333333333333,1
1,6,45,8.65,8.533333333333333,1
1,6,46,6.833333333333334,8.05,1
1,6,47,8.883333333333333,7.816666666666667,1
1,6,48,8.2,7.966666666666667,1
1,7,49,7.383333333333334,8.433333333333334,1
1,7,50,7.583333333333333,8.450000000000001,1
1,7,51,7.433333333333334,9.766666666666666,1
1,7,52,6.916666666666667,8.55,1
1,7,53,8.283333333333333,8.516666666666666,1
1,7,54,8.35,7.966666666666667,1
1,7,55,6.55,9.166666666666666,1
1,8,56,7.966666666666667,7.983333333333333,1
1,8,57,7.55,8.416666666666666,1
1,8,58,8.016666666666666,8.033333333333333,1
1,8,59,7.833333333333333,8.266666666666667,1
2,8,60,7.216666666666667,9.466666666666667,1
2,8,61,7.216666666666667,9.416666666666666,1
2,8,62,7.55,9.116666666666667,1
2,9,63,7.5,8.8,1
2,9,64,7.783333333333333,8.816666666666666,1
2,9,65,7.766666666666667,9.533333333333333,1
2,9,66,7.933333333333334,8.633333333333333,1
2,9,67,7.8500000000000005,9.1,1
2,9,68,7.383333333333333,8.233333333333334,1
2,9,69,7.6,8.383333333333333,1
2,10,70,7.633333333333333,8.9,1
2,10,71,7.183333333333334,9.266666666666666,1
2,10,72,8.05,7.699999999999999,1
2,10,73,8.0,8.316666666666666,1
2,10,74,7.466666666666667,9.65,1
2,10,75,7.533333333333333,9.6,1
2,10,76,8.116666666666667,9.3,1
2,11,77,7.766666666666667,8.716666666666667,1
2,11,78,7.75,8.55,1
2,11,79,7.816666666666666,8.35,1
2,11,80,7.333333333333333,8.883333333333333,1
2,11,81,6.683333333333334,9.6,1
2,11,82,7.300000000000001,9.716666666666667,1
2,11,83,6.916666666666667,9.133333333333333,1
2,12,84,7.3,8.383333333333333,1
2,12,85,7.0,9.05,1
2,12,86,7.283333333333333,9.183333333333334,1
2,12,87,7.683333333333334,8.25,1
2,12,88,6.333333333333334,8.616666666666667,1
2,12,89,6.666666666666667,8.9,1
3,12,90,6.316666666666666,10.333333333333334,1
3,13,91,7.0,9.816666666666666,1
3,13,92,7.9,9.766666666666667,1
3,13,93,6.416666666666667,9.033333333333333,1
3,13,94,8.05,9.383333333333333,1
3,13,95,8.1,8.866666666666665,1
3,13,96,8.433333333333334,10.366666666666667,1
3,13,97,6.616666666666667,10.283333333333333,1
3,14,98,7.3999999999999995,10.616666666666667,1
3,14,99,7.266666666666667,10.700000000000001,1
3,14,100,6.766666666666667,9.3,1
3,14,101,6.7,9.633333333333335,1
3,14,102,7.75,9.383333333333333,1
3,14,103,7.216666666666667,8.416666666666666,1
3,14,104,6.85,9.75,1
3,15,105,7.5166666666666675,9.05,1
3,15,106,7.133333333333333,9.766666666666667,1
3,15,107,8.3,7.916666666666666,1
3,15,108,8.033333333333333,10.6,1
3,15,109,6.533333333333333,10.716666666666667,1
3,15,110,6.5,8.6,1
3,15,111,7.583333333333334,9.433333333333332,1
3,16,112,5.95,11.533333333333333,1
3,16,113,6.816666666666667,9.05,1
3,16,114,7.566666666666666,10.8,1
3,16,115,6.300000000000001,8.833333333333334,1
3,16,116,7.783333333333333,8.766666666666666,1
3,16,117,6.95,10.933333333333334,1
3,16,118,6.85,10.516666666666667,1
3,17,119,6.983333333333333,9.95,1
4,17,120,8.066666666666666,10.133333333333333,1
4,17,121,6.85,10.616666666666667,1
4,17,122,5.916666666666667,10.483333333333334,1
4,17,123,6.199999999999999,10.7,1
4,17,124,7.283333333333333,10.05,1
4,17,125,7.116666666666667,10.083333333333334,1
4,18,126,6.716666666666667,10.066666666666666,1
4,18,127,7.233333333333333,10.166666666666666,1
4,18,128,7.583333333333333,10.166666666666668,1
4,18,129,6.983333333333333,10.65,1
4,18,130,6.816666666666667,8.899999999999999,1
4,18,131,6.816666666666666,8.433333333333334,1
4,18,132,6.8,10.05,1
4,19,133,6.033333333333333,10.6,1
4,19,134,7.033333333333333,10.766666666666666,1
4,19,135,6.35,9.966666666666667,1
4,19,136,5.95,10.416666666666666,1
4,19,137,7.066666666666666,9.483333333333333,1
4,19,138,6.416666666666666,9.933333333333334,1
4,19,139,8.0,8.466666666666667,1
4,20,140,6.866666666666667,11.9,1
4,20,141,6.0,10.516666666666667,1
4,20,142,6.55,8.283333333333333,1
4,20,143,7.133333333333334,10.233333333333333,1
4,20,144,7.283333333333333,11.466666666666667,1
4,20,145,5.9,10.850000000000001,1
4,20,146,7.433333333333334,11.033333333333333,1
4,21,147,6.833333333333333,10.95,1
4,21,148,7.216666666666667,10.666666666666668,1
4,21,149,6.7,9.783333333333333,1
5,21,150,6.7333333333333325,8.883333333333333,1
5,21,151,7.316666666666667,9.166666666666666,1
5,21,152,6.4,10.4,1
5,21,153,7.316666666666667,11.666666666666666,1
5,22,154,6.35,10.766666666666667,1
5,22,155,7.7,10.9,1
5,22,156,6.116666666666666,10.25,1
5,22,157,6.866666666666667,11.166666666666666,1
5,22,158,6.8,10.616666666666667,1
5,22,159,6.683333333333334,10.433333333333334,1
5,22,160,7.2666666666666675,10.833333333333334,1
5,23,161,6.866666666666667,10.416666666666666,1
5,23,162,6.55,8.95,1
5,23,163,7.0,11.683333333333334,1
5,23,164,6.833333333333334,9.633333333333333,1
5,23,165,6.016666666666667,9.916666666666666,1
5,23,166,6.5,10.566666666666666,1
5,23,167,6.933333333333334,11.316666666666666,1
5,24,168,5.916666666666666,10.483333333333334,1
5,24,169,7.666666666666666,10.166666666666666,1
5,24,170,7.466666666666667,10.483333333333334,1
5,24,171,6.616666666666667,8.3,1
5,24,172,7.05,10.733333333333333,1
5,24,173,6.516666666666667,8.516666666666666,1
5,24,174,7.016666666666667,10.683333333333334,1
5,25,175,6.466666666666667,11.0,1
5,25,176,5.683333333333333,10.283333333333335,1
5,25,177,7.566666666666666,8.816666666666666,1
5,25,178,7.466666666666667,10.25,1
5,25,179,7.0,10.083333333333334,1
6,25,180,6.733333333333333,9.116666666666667,1
