Months Old,Weeks Old,Days Old,Hours,Count
0,0,0,2.933333333333333,1
0,0,1,2.933333333333333,1
0,0,2,2.8833333333333333,1
0,0,3,2.6666666666666665,1
0,0,4,2.8,1
0,0,5,2.9,1
0,0,6,2.9833333333333334,1
0,1,7,2.95,1
0,1,8,2.783333333333333,1
0,1,9,2.9,1
0,1,10,2.5,1
0,1,11,2.7666666666666666,1
0,1,12,2.933333333333333,1
0,1,13,2.8666666666666667,1
0,2,14,2.75,1
0,2,15,2.5166666666666666,1
0,2,16,2.65,1
0,2,17,2.7666666666666666,1
0,2,18,2.65,1
0,2,19,2.7666666666666666,1
0,2,20,2.8833333333333333,1
0,3,21,2.9166666666666665,1
0,3,22,2.683333333333333,1
0,3,23,2.95,1
0,3,24,2.75,1
0,3,25,3.033333333333333,1
0,3,26,2.8333333333333335,1
0,3,27,2.95,1
0,4,28,2.85,1
0,4,29,2.816666666666667,1
1,4,30,3.466666666666667,1
1,4,31,3.683333333333333,1
1,4,32,3.783333333333333,1
1,4,33,2.9833333333333334,1
1,4,34,2.8833333333333333,1
1,5,35,3.933333333333333,1
1,5,36,2.9,1
1,5,37,2.9833333333333334,1
1,5,38,2.8333333333333335,1
1,5,39,3.05,1
1,5,40,3.4833333333333334,1
1,5,41,2.9833333333333334,1
1,6,42,3.4833333333333334,1
1,6,43,2.95,1
1,6,44,4.216666666666667,1
1,6,45,4.15,1
1,6,46,2.9833333333333334,1
1,6,47,4.683333333333334,1
1,6,48,2.75,1
1,7,49,3.45,1
1,7,50,3.15,1
1,7,51,4.75,1
1,7,52,4.633333333333334,1
1,7,53,4.833333333333333,1
1,7,54,2.85,1
1,7,55,3.3,1
1,8,56,3.466666666666667,1
1,8,57,4.633333333333334,1
1,8,58,3.0,1
1,8,59,4.45,1
2,8,60,6.466666666666667,1
2,8,61,6.116666666666666,1
2,8,62,6.166666666666667,1
2,9,63,3.15,1
2,9,64,4.533333333333333,1
2,9,65,6.583333333333333,1
2,9,66,5.316666666666666,1
2,9,67,5.966666666666667,1
2,9,68,3.283333333333333,1
2,9,69,4.633333333333334,1
2,10,70,3.716666666666667,1
2,10,71,7.766666666666667,1
2,10,72,3.3833333333333333,1
2,10,73,3.5166666666666666,1
2,10,74,7.233333333333333,1
2,10,75,7.366666666666666,1
2,10,76,8.0,1
2,11,77,5.833333333333333,1
2,11,78,5.666666666666667,1
2,11,79,4.716666666666667,1
2,11,80,4.366666666666666,1
2,11,81,6.266666666666667,1
2,11,82,8.216666666666667,1
2,11,83,4.5,1
2,12,84,4.483333333333333,1
2,12,85,3.683333333333333,1
2,12,86,8.183333333333334,1
2,12,87,3.533333333333333,1
2,12,88,4.05,1
2,12,89,5.0,1
3,12,90,9.233333333333333,1
3,13,91,9.483333333333333,1
3,13,92,7.7,1
3,13,93,6.233333333333333,1
3,13,94,7.85,1
3,13,95,8.733333333333333,1
3,13,96,9.566666666666666,1
3,13,97,8.95,1
3,14,98,10.183333333333334,1
3,14,99,10.016666666666667,1
3,14,100,4.65,1
3,14,101,8.516666666666667,1
3,14,102,7.033333333333333,1
3,14,103,5.833333333333333,1
3,14,104,6.833333333333333,1
3,15,105,4.416666666666667,1
3,15,106,9.65,1
3,15,107,5.083333333333333,1
3,15,108,11.433333333333334,1
3,15,109,11.483333333333333,1
3,15,110,7.616666666666666,1
3,15,111,8.45,1
3,16,112,11.533333333333333,1
3,16,113,6.983333333333333,1
3,16,114,10.416666666666666,1
3,16,115,6.266666666666667,1
3,16,116,7.316666666666666,1
3,16,117,11.716666666666667,1
3,16,118,10.583333333333334,1
3,17,119,11.933333333333334,1
4,17,120,10.133333333333333,1
4,17,121,9.333333333333334,1
4,17,122,9.2,1
4,17,123,11.866666666666667,1
4,17,124,11.033333333333333,1
4,17,125,8.516666666666667,1
4,18,126,11.816666666666666,1
4,18,127,11.9,1
4,18,128,9.466666666666667,1
4,18,129,10.85,1
4,18,130,6.116666666666666,1
4,18,131,5.583333333333333,1
4,18,132,7.766666666666667,1
4,19,133,10.6,1
4,19,134,9.483333333333333,1
4,19,135,7.133333333333334,1
4,19,136,9.133333333333333,1
4,19,137,6.75,1
4,19,138,11.933333333333334,1
4,19,139,6.483333333333333,1
4,20,140,11.9,1
4,20,141,10.516666666666667,1
4,20,142,6.916666666666667,1
4,20,143,8.783333333333333,1
4,20,144,11.816666666666666,1
4,20,145,11.833333333333334,1
4,20,146,11.866666666666667,1
4,21,147,11.816666666666666,1
4,21,148,11.933333333333334,1
4,21,149,8.4,1
5,21,150,7.783333333333333,1
5,21,151,5.616666666666666,1
5,21,152,11.95,1
5,21,153,11.983333333333333,1
5,22,154,10.0,1
5,22,155,11.9,1
5,22,156,10.416666666666666,1
5,22,157,11.816666666666666,1
5,22,158,11.866666666666667,1
5,22,159,11.55,1
5,22,160,11.95,1
5,23,161,11.85,1
5,23,162,8.316666666666666,1
5,23,163,11.866666666666667,1
5,23,164,9.216666666666667,1
5,23,165,9.683333333333334,1
5,23,166,11.866666666666667,1
5,23,167,11.8,1
5,24,168,9.466666666666667,1
5,24,169,11.933333333333334,1
5,24,170,11.833333333333334,1
5,24,171,6.933333333333334,1
5,24,172,11.833333333333334,1
5,24,173,7.1,1
5,24,174,10.683333333333334,1
5,25,175,11.816666666666666,1
5,25,176,11.966666666666667,1
5,25,177,7.2,1
5,25,178,11.983333333333333,1
5,25,179,11.916666666666666,1
6,25,180,6.716666666666667,1
