Weeks Old,Hours After Night Start Time,Rounded Hours After Night Start Time
0,3.5833333333333335,4.0
1,1.611904761904762,2.0
2,2.519047619047619,3.0
3,1.8309523809523809,2.0
4,0.8785714285714287,1.0
5,0.24761904761904763,0.0
6,0.5404761904761904,1.0
7,0.2119047619047619,0.0
8,-0.10238095238095238,-0.0
9,0.6523809523809524,1.0
10,0.8880952380952382,1.0
11,0.8261904761904761,1.0
12,0.2785714285714286,0.0
13,0.7428571428571429,1.0
14,0.6476190476190476,1.0
15,1.7761904761904763,2.0
16,0.7904761904761904,1.0
17,1.273809523809524,1.0
18,0.03571428571428573,0.0
19,0.1928571428571429,0.0
20,0.19999999999999998,0.0
21,-0.1404761904761905,-0.0
22,0.8738095238095239,1.0
23,1.6547619047619047,2.0
24,0.5357142857142857,1.0
25,1.0083333333333333,1.0
